,WindSpeed,IrrDirect,IrrDiffuse,Temperature,Percipitation,SnowFlow,SnowMass,AirDensity,RadSurface,RadTop,CloudCover,IsDayBin_Day,IsDayBin_Night,Month_1,Month_2,Month_3,Month_4,Month_5,Month_6,Month_7,Month_8,Month_9,Month_10,Month_11,Month_12
0,5.777,0.0,0.0,-1.21,0.114,0.099,10.592,1.268,0.0,0.0,1.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
1,5.8870000000000005,0.0,0.0,-0.862,0.114,0.10300000000000001,10.671,1.266,0.0,0.0,1.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2,5.957000000000001,0.0,0.0,-0.552,0.122,0.111,10.755999999999998,1.265,0.0,0.0,1.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
3,6.025,0.0,0.0,-0.297,0.158,0.145,10.855,1.264,0.0,0.0,1.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
5,6.193,0.0,0.0,-0.10400000000000001,0.141,0.094,10.873,1.264,0.0,0.0,0.9990000000000001,0,1,1,0,0,0,0,0,0,0,0,0,0,0
6,6.2589999999999995,0.0,0.0,-0.124,0.128,0.08900000000000001,10.859000000000002,1.264,0.0,0.0,0.998,0,1,1,0,0,0,0,0,0,0,0,0,0,0
7,6.207000000000001,0.0,0.0,-0.18100000000000002,0.122,0.105,10.859000000000002,1.265,0.0,0.0,0.992,0,1,1,0,0,0,0,0,0,0,0,0,0,0
8,5.983,0.0,0.0,-0.271,0.134,0.121,10.9,1.2670000000000001,0.6970000000000001,17.13,0.9840000000000001,1,0,1,0,0,0,0,0,0,0,0,0,0,0
9,5.92,0.001,0.005,-0.301,0.135,0.11900000000000001,10.963,1.268,7.19,100.465,0.978,1,0,1,0,0,0,0,0,0,0,0,0,0,0
10,5.85,0.001,0.009000000000000001,-0.251,0.141,0.11900000000000001,11.020999999999999,1.268,14.689,156.28,0.9590000000000001,1,0,1,0,0,0,0,0,0,0,0,0,0,0
11,5.737,0.002,0.012,-0.17300000000000001,0.172,0.14400000000000002,11.100999999999999,1.268,18.659000000000002,168.917,0.9259999999999999,1,0,1,0,0,0,0,0,0,0,0,0,0,0
12,5.436,0.002,0.01,-0.14300000000000002,0.25,0.239,11.261,1.2690000000000001,16.259,137.5,0.865,1,0,1,0,0,0,0,0,0,0,0,0,0,0
13,5.352,0.001,0.004,-0.281,0.306,0.297,11.529000000000002,1.27,6.61,64.172,0.81,1,0,1,0,0,0,0,0,0,0,0,0,0,0
14,5.435,0.0,0.0,-0.507,0.309,0.289,11.815,1.271,0.037000000000000005,1.127,0.785,1,0,1,0,0,0,0,0,0,0,0,0,0,0
