,WindPower
0,396.352
1,417.778
2,434.58099999999996
3,448.48199999999997
5,485.96
6,501.274
7,489.209
8,439.592
9,424.806
10,410.01800000000003
11,386.894
12,328.601
13,313.128
14,328.42699999999996
15,360.934
16,362.346
17,382.47
18,408.464
21,432.365
22,454.846
23,472.657
24,541.0459999999999
26,519.668
27,530.054
28,582.691
29,645.248
30,681.327
31,693.6
32,675.409
33,661.7669999999999
34,657.02
35,675.163
36,655.429
37,663.166
38,693.515
39,687.584
40,701.8660000000001
41,723.195
42,790.187
43,763.737
44,736.1030000000001
45,674.2489999999999
46,637.964
47,645.266
48,579.628
49,537.052
50,516.493
51,473.32199999999995
52,479.81300000000005
53,439.611
54,428.996
55,428.194
56,437.26
57,419.611
58,383.376
60,326.533
61,335.00800000000004
62,303.278
63,260.552
64,224.701
65,200.24200000000002
66,180.828
67,185.59
68,168.81900000000002
69,158.702
70,152.814
71,145.17600000000002
72,143.30200000000002
73,135.906
74,125.351
75,139.494
76,174.172
77,204.793
78,225.222
80,211.842
81,209.69799999999998
82,217.351
83,206.688
84,204.67700000000002
85,230.24900000000002
86,243.28900000000002
88,316.38
90,319.052
91,289.322
92,247.984
94,238.933
95,265.699
96,294.557
97,318.03700000000003
98,327.325
99,321.157
100,309.127
102,303.276
103,303.013
104,312.95799999999997
105,317.595
106,283.171
107,211.76
108,189.97299999999998
109,227.109
110,280.072
111,266.013
112,238.222
113,212.31099999999998
114,200.136
115,197.222
116,193.364
117,202.483
118,203.63299999999998
119,202.513
120,210.826
121,235.457
122,259.24
123,242.63
124,219.187
125,199.97799999999998
126,182.48
127,169.56900000000002
128,157.81
130,156.882
131,115.559
132,103.24
133,125.62299999999999
134,135.034
135,125.535
137,100.14299999999999
139,70.226
140,50.871
143,39.887
144,58.956
145,82.585
146,107.115
147,127.13799999999999
148,125.742
149,111.205
150,104.024
151,103.90299999999999
152,106.506
153,116.31
154,134.502
155,128.42700000000002
156,127.551
157,176.356
158,241.148
159,279.532
160,293.029
161,292.78
162,288.584
163,274.214
164,246.05700000000002
165,242.822
166,249.334
167,260.67
168,275.495
169,260.046
170,237.683
171,259.251
172,277.719
173,327.716
174,348.73199999999997
175,362.644
176,373.51599999999996
178,337.75199999999995
179,328.62199999999996
180,328.259
181,375.212
182,426.561
183,412.907
184,394.725
185,383.35
186,359.38599999999997
187,359.801
189,338.332
190,308.056
191,337.66
192,364.319
194,329.314
195,363.879
196,400.45300000000003
198,444.784
199,458.902
200,480.836
202,367.064
203,334.86199999999997
204,316.998
205,344.95
206,404.673
207,390.037
208,398.07599999999996
209,388.92800000000005
211,441.14
213,490.51199999999994
214,633.6030000000001
215,691.158
216,646.698
218,547.692
219,555.9259999999999
220,533.587
221,529.678
223,491.395
224,456.25699999999995
225,428.406
226,388.353
227,354.07
228,322.659
229,341.902
230,439.639
231,609.868
232,645.524
233,543.01
234,454.522
235,408.241
236,427.17900000000003
237,420.62199999999996
238,408.96
239,384.963
240,352.98400000000004
241,330.574
242,317.263
243,346.87300000000005
244,363.02
245,361.837
247,349.88
248,336.901
249,312.47900000000004
250,267.577
251,258.14599999999996
252,271.434
253,326.028
254,402.038
255,457.227
256,458.44699999999995
257,466.339
258,493.097
259,509.336
260,527.078
261,508.97
262,522.987
263,530.052
264,510.217
265,497.30300000000005
266,545.7080000000001
267,568.004
268,638.2769999999999
269,640.145
270,645.2669999999999
271,661.3810000000001
272,689.235
273,617.006
274,454.861
275,331.00800000000004
276,317.779
